zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
5.0,30.0,1e-06,1.5,arca,58.17512340756461,0.0
5.0,30.0,1e-06,1.5,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.5,combined,62.8485345613788,0.0
5.0,30.0,1e-06,1.5625,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.5625,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.5625,combined,68.86821903242955,0.0
5.0,30.0,1e-06,1.625,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.625,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.625,combined,81.60700471798359,0.0
5.0,30.0,1e-06,1.6875,arca,70.26501962230358,0.0
5.0,30.0,1e-06,1.6875,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.6875,combined,81.62701729125767,0.0
5.0,30.0,1e-06,1.75,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.75,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.75,combined,81.62701729125767,0.0
5.0,30.0,1e-06,1.8125,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.8125,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.8125,combined,81.62701729125767,0.0
5.0,30.0,1e-06,1.875,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.875,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.875,combined,81.62701729125767,0.0
5.0,30.0,1e-06,1.9375,arca,70.28201042349139,0.0
5.0,30.0,1e-06,1.9375,orca,57.91946380126602,0.0
5.0,30.0,1e-06,1.9375,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.0,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.0,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.0,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.0625,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.0625,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.0625,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.125,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.125,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.125,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.1875,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.1875,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.1875,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.25,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.25,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.25,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.3125,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.3125,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.3125,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.375,arca,70.28201042349139,0.0
5.0,30.0,1e-06,2.375,orca,57.91946380126602,0.0
5.0,30.0,1e-06,2.375,combined,81.62701729125767,0.0
5.0,30.0,1e-06,2.4375,arca,70.28201042349139,0.0
